2023-11-05 13:23:57 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:58 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:23:59 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:00 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:01 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:02 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:03 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:04 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:05 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:06 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:07 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:08 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:09 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:10 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:11 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:12 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:13 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:14 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:15 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:16 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:17 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:18 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:19 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:20 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:21 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:21 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:22 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:22 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:23 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:23 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:24 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:24 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:25 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:25 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:26 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:26 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:27 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:27 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:28 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:28 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:29 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:29 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:30 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:30 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:31 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:31 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:32 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:32 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:33 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:33 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:34 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:34 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:35 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:35 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:36 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:36 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:37 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:37 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:38 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:38 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:39 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:39 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:40 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:40 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:41 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:41 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:42 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:42 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:43 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:43 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:44 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:44 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:45 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:45 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:46 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:46 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:47 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:47 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:48 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:48 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:49 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:49 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:50 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:50 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:51 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:51 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:52 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:52 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:53 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:53 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:54 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:54 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:55 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:55 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:56 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:56 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:57 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:57 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:58 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:58 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:24:59 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:24:59 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:25:00 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:25:00 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:25:01 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:25:01 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:25:02 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:25:02 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:25:03 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:25:03 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:25:04 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:25:04 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:25:05 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:25:05 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:25:06 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:25:06 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:25:07 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:25:07 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:25:08 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:25:08 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:25:09 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:25:09 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:25:10 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:25:10 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:25:11 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:25:11 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:25:12 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:25:12 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:25:13 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:25:13 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:25:14 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:25:14 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:25:15 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:25:15 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:25:16 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
2023-11-05 13:25:16 INFO No path found after model/logs/base_model/20231105-132224/train/events.out.tfevents.1699208567.Leviathan.7146.0.v2
2023-11-05 13:25:17 INFO No path found after model/logs/base_model/20231105-132224/validation/events.out.tfevents.1699208660.Leviathan.7146.1.v2
